"codigo_producto","descripcion","negocio","seccion","linea","categoria","abastecimiento","comuna","region","tienda","zonal","mes","año","semestre","fecha","motivo","ubicación_motivo","merma_unidad","merma_monto","merma_unidad_p","merma_monto_p"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/3/2016","Interno","Sala de Ventas","-9.853","-17735","9.853","17735"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/4/2016","Interno","Bodega","-16.291","-29170","16.291","29170"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/6/2016","Interno","Bodega","-3.702","-7018","3.702","7018"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/8/2016","Interno","Bodega","-10.858","-20773","10.858","20773"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/9/2016","Interno","Bodega","-2.611","-4995","2.611","4995"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/10/2016","Interno","Bodega","-3.803","-7302","3.803","7302"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/12/2016","Interno","Bodega","-3.323","-6406","3.323","6406"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/13/2016","Interno","Bodega","-7.292","-14058","7.292","14058"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/15/2016","Interno","Bodega","-5.59","-10838","5.59","10838"
"14190","PALETA GRANEL SUPER CERDO KG","PERECIBLES","CARNES","CERDO","CERDO GRANEL","Directo","ANGOL","IX","ANGOL","Juan Perez","Diciembre","2016","Segundo","12/17/2016","Interno","Bodega","-1.687","-3283","1.687","3283"
